review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,2122.1,Kathie's Cotton Candy,unverified,false,-93.1754922935,44.9798653706,West side of Liggett St. between Carnes & Judson avenues,,75.1,,large_change_from_baseline|no_independent_verification
medium,25,2122.2,Kathie's Cotton Candy,unverified,false,-93.1720304289,44.9810130612,"West of Nelson St., just south of the Grandstand",,98.6,,large_change_from_baseline|no_independent_verification
medium,25,3699.1,Kora & Mila's Cookie Dough,unverified,false,-93.1681436573,44.9810459612,South side of Dan Patch Ave. between Cooper & Cosgrove streets,,104.8,,large_change_from_baseline|no_independent_verification
medium,25,2120.1,L & B Cotton Candy,unverified,false,-93.1710492812,44.9784947065,South side of Judson Ave. between Nelson & Underwood streets,,115.2,,large_change_from_baseline|no_independent_verification
medium,25,2120.2,L & B Cotton Candy,unverified,false,-93.1706533432,44.981214532,Northwest corner of Dan Patch Ave. & Underwood St.,,135.6,,large_change_from_baseline|no_independent_verification
medium,25,5171.1,Libby's Ice Cream & Co.,unverified,false,-93.1733509427,44.9810026612,"Located south of the Grandstand Building, under the Grandstand Ramp",,93.1,,large_change_from_baseline|no_independent_verification
medium,25,3386.2,Loon Lake Iced Tea,unverified,false,-93.1706037289,44.9832551,West side of Underwood St. between Wright & Dan Patch avenues,,107.0,,large_change_from_baseline|no_independent_verification
medium,25,2708.1,Luigi Fries,unverified,false,-93.1719672568,44.979975532,Northeast corner of Carnes Ave. & Nelson St.,,40.7,,large_change_from_baseline|no_independent_verification
medium,25,9067.1,Lumpia City,unverified,false,-93.1754919595,44.9798461822,West side of Liggett St. between Carnes & Judson avenues,,107.5,,large_change_from_baseline|no_independent_verification
medium,25,2719.1,Lynn's Lefse,unverified,false,-93.1699263786,44.9801448534,"In the Food Building, south wall",,146.4,,large_change_from_baseline|no_independent_verification
medium,25,10914.1,Magdalena's Chimney Cakes,unverified,false,-93.1735834,44.9786708388,North side of Judson Ave. between Clough & Nelson streets,,129.3,,large_change_from_baseline|no_independent_verification
medium,25,2737.1,Manny's Tortas,unverified,false,-93.169646675,44.9807636,"In the Food Building, northeast section",,147.9,,large_change_from_baseline|no_independent_verification
medium,25,2743.1,Mario's,unverified,false,-93.1701806536,44.9807947534,"In the Food Building, northwest section",,112.7,,large_change_from_baseline|no_independent_verification
medium,25,2764.1,Midtown Global Market's Irie Jamaican Express,unverified,false,-93.16852394,44.97818845,"In the Taste of the Midtown Global Market booth at the International Bazaar, east wall",,150.0,,large_change_from_baseline|no_independent_verification
medium,25,3718.1,Minnekabob,unverified,false,-93.169281478,44.9810362809,South side of Dan Patch Ave. between Underwood & Cooper streets,,114.6,,large_change_from_baseline|no_independent_verification
medium,25,4057.1,Mr. E's Drink Time,unverified,false,-93.1699263786,44.9800825466,"In the Food Building, south wall",,159.1,,large_change_from_baseline|no_independent_verification
medium,25,2941.1,Netterfield's Food Court,unverified,false,-93.1690456711,44.9811165,East side of Cooper St. between Wright & Dan Patch avenues,,112.4,,large_change_from_baseline|no_independent_verification
medium,25,2953.1,Nitro Ice Cream,unverified,false,-93.169473768,44.9809285,"In the Food Building, northeast corner",,116.8,,large_change_from_baseline|no_independent_verification
medium,25,2987.1,Ole and Lena's,unverified,false,-93.1755431862,44.9798674,West side of Liggett St. between Carnes & Judson avenues,,128.6,,large_change_from_baseline|no_independent_verification
medium,25,3759.2,Ollie's Crab Fritters,unverified,false,-93.1703405711,44.9858291,On the east side of Underwood St. between Murphy and Lee avenues,2501-2287,217.7,,large_change_from_baseline|no_independent_verification
medium,25,2991.1,Oodles of Noodles,unverified,false,-93.1694991966,44.9805522534,"In the Food Building, east wall",,109.6,,large_change_from_baseline|no_independent_verification
medium,25,6268.1,Paella Depot,unverified,false,-93.1731270859,44.9785097577,South side of Judson Ave. between Clough & Nelson streets,,116.1,,large_change_from_baseline|no_independent_verification
medium,25,3020.1,Panda Palace,unverified,false,-93.16852394,44.9783869,"At the International Bazaar, northeast corner",,73.7,,large_change_from_baseline|no_independent_verification
medium,25,3030.1,Patio Grill,unverified,false,-93.1719894077,44.97967113,East side of Nelson St. between Carnes & Judson avenues,,98.0,,large_change_from_baseline|no_independent_verification
medium,25,8386.1,Peachey's Baking Company,unverified,false,-93.168254037179,44.985340925919,"North side of Randall Avenue, east of Cosgrove Street, outside the Progress Center",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,246.1,Peters Hot Dogs,unverified,false,-93.170328132,44.9805211,"In the Food Building, west wall",,79.4,,large_change_from_baseline|no_independent_verification
medium,25,3052.1,Peters Hot Dogs,unverified,false,-93.1697719427,44.9825528,At Kidway,,170.5,,large_change_from_baseline|no_independent_verification
medium,25,3079.1,Poncho Dogs,unverified,false,-93.1721767286,44.9784803078,South side of Judson Ave. between Nelson & Underwood streets,,116.3,,large_change_from_baseline|no_independent_verification
medium,25,3079.2,Poncho Dogs,unverified,false,-93.1680419427,44.9810459612,South side of Dan Patch Ave. between Cooper & Cosgrove streets,,53.5,,large_change_from_baseline|no_independent_verification
medium,25,3079.3,Poncho Dogs,unverified,false,-93.1737105432,44.978499968,Southwest corner of Judson Ave. & Clough St.,,116.7,,large_change_from_baseline|no_independent_verification
medium,25,3095.1,Pretzel Dogs,unverified,false,-93.1754759408,44.9789258874,West side of Liggett St. between Carnes & Judson avenues,,74.4,,large_change_from_baseline|no_independent_verification
medium,25,1023.1,Pronto Pups,unverified,false,-93.1706071716,44.9798917,West side of Underwood St. between Dan Patch & Carnes avenues,,94.3,,large_change_from_baseline|no_independent_verification
medium,25,3109.1,Pronto Pups,unverified,false,-93.169612024359,44.982657899418,"East side of Underwood St. between Wright & Dan Patch avenues, outside Kidway",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3111.1,Pronto Pups,unverified,false,-93.1691601,44.9810355612,South side of Dan Patch Ave. between Underwood & Cooper streets,,70.7,,large_change_from_baseline|no_independent_verification
medium,25,5028.1,Pronto Pups,unverified,false,-93.1679486711,44.9832357,East side of Cosgrove St. between Randall & Wright avenues,,120.0,,large_change_from_baseline|no_independent_verification
medium,25,5687.1,Pronto Pups,unverified,false,-93.1725219883,44.979964047,North side of Carnes Ave. between Chambers & Nelson streets,,64.3,,large_change_from_baseline|no_independent_verification
medium,25,7805.1,Pronto Pups,unverified,false,-93.1692343432,44.984462732,Northwest corner of Randall Ave. & Cooper St.,,136.4,,large_change_from_baseline|no_independent_verification
medium,25,1416.2,Pryes Brewing Pavilion,unverified,false,-93.17760135,44.98157855,"At West End Market, south of Schilling Amphitheater",,116.7,,large_change_from_baseline|no_independent_verification
medium,25,3759.1,Quesadilla Junction,unverified,false,-93.1703405711,44.9858291,On the east side of Underwood St. between Murphy and Lee avenues,2501-2287,217.7,,large_change_from_baseline|no_independent_verification
medium,25,3131.1,Ragin Cajun,unverified,false,-93.1702885286,44.9809547534,"In The Garden, west wall",,122.8,,large_change_from_baseline|no_independent_verification
medium,25,1856.1,RC Cola,unverified,false,-93.16993026,44.9815531,East side of Underwood St. outside Visitors Plaza,,164.6,,large_change_from_baseline|no_independent_verification
medium,25,3173.1,Rice Kristie Bars,unverified,false,-93.1705436,44.9799726388,North side of Carnes Ave. between Nelson & Underwood streets,,85.8,,large_change_from_baseline|no_independent_verification
medium,25,5275.1,Richie's Cheese Curd Tacos,unverified,false,-93.1745980289,44.9807764,West side of Chambers St. between West Dan Patch & Carnes avenues,,119.5,,large_change_from_baseline|no_independent_verification
medium,25,792.2,Sabino's Pizza Pies,unverified,false,-93.17443995,44.978454128,"In the Lee & Rose Warner Coliseum, north side",,82.1,,large_change_from_baseline|no_independent_verification
medium,25,10369.1,Sadies Classics Frozen Custard,unverified,false,-93.1706603148,44.9796473997,"West side of Underwood St., just north of Carnes Ave.",,54.8,,large_change_from_baseline|no_independent_verification
medium,25,3235.1,San Felipe Tacos,unverified,false,-93.1706533432,44.981034668,Southwest corner of Dan Patch Ave. & Underwood St.,,145.8,,large_change_from_baseline|no_independent_verification
medium,25,3249.1,Sausage Express,unverified,false,-93.1705262,44.981169566,North side of Dan Patch Ave. between Nelson & Underwood streets,,80.1,,large_change_from_baseline|no_independent_verification
medium,25,1573.1,Shrimp Shack,unverified,false,-93.1706654648,44.9788446533,West side of Underwood St. between Carnes & Judson avenues,,42.8,,large_change_from_baseline|no_independent_verification
medium,25,3332.1,Sonny's Fair Food,unverified,false,-93.1701806536,44.9807324466,"In the Food Building, northwest section",,132.5,,large_change_from_baseline|no_independent_verification
medium,25,5799.1,Soul Bowl,unverified,false,-93.1694991966,44.9804899466,"In the Food Building, east wall",,95.8,,large_change_from_baseline|no_independent_verification
medium,25,8073.1,SPAM,unverified,false,-93.1734526573,44.9810026612,"Located south of the Grandstand Building, under the Grandstand Ramp",,132.1,,large_change_from_baseline|no_independent_verification
medium,25,5175.1,Spinning Wylde,unverified,false,-93.1680631,44.9833166388,"Located north of Wright Ave. between Cooper & Cosgrove streets, at Family Fair at Baldwin Park",,74.5,,large_change_from_baseline|no_independent_verification
medium,25,3408.1,Super Dog,unverified,false,-93.1752634711,44.9798674,east side of Liggett Street between West Dan Patch and Carnes avenues,,74.0,,large_change_from_baseline|no_independent_verification
medium,25,3412.1,Sweet & Sour USA,unverified,false,-93.17443995,44.977844372,"In the Lee & Rose Warner Coliseum, south wall",,119.2,,large_change_from_baseline|no_independent_verification
medium,25,2079.1,Sweet Martha's Cookie Jar,unverified,false,-93.1744836,44.9808573388,North side of West Dan Patch Ave. between Liggett & Chambers streets,,110.1,,large_change_from_baseline|no_independent_verification
medium,25,3981.1,Sweet Martha's Cookie Jar,unverified,false,-93.17056476,44.9871669109,West side of Underwood St. between Murphy & Lee avenues,,102.7,,large_change_from_baseline|no_independent_verification
medium,25,1509.1,Sweets & Treats,unverified,false,-93.1701029568,44.9812030293,North side of Dan Patch Ave. between Underwood & Cooper streets,,121.7,,large_change_from_baseline|no_independent_verification
medium,25,792.4,Swine & Spuds,unverified,false,-93.173821752,44.978454128,"In the Lee & Rose Warner Coliseum, northeast corner",,151.1,,large_change_from_baseline|no_independent_verification
medium,25,3436.1,Tejas Express,unverified,false,-93.1702885286,44.9808924466,"In The Garden, north wall",,143.0,,large_change_from_baseline|no_independent_verification
medium,25,1328.1,The Anchor Coffee House,unverified,false,-93.1707088862,44.9798917,West side of Underwood St. between Dan Patch & Carnes avenues,,86.6,,large_change_from_baseline|no_independent_verification
medium,25,1974.1,The Blue Ox Burger Bar,unverified,false,-93.1734562568,44.978499968,Southeast corner of Judson Ave. & Clough St.,,116.2,,large_change_from_baseline|no_independent_verification
medium,25,3448.1,The Donut Family,unverified,false,-93.1780542927,44.9799615,At Mighty Midway,,69.7,,large_change_from_baseline|no_independent_verification
medium,25,5836.1,The Herbivorous Butcher,unverified,false,-93.170328132,44.9801137,"In the Food Building, west section, south wall",,117.6,,large_change_from_baseline|no_independent_verification
medium,25,3089.2,The Perfect Pickle,unverified,false,-93.1705667744,44.9866035671,West side of Underwood St. at Lee Ave.,,88.5,,large_change_from_baseline|no_independent_verification
medium,25,3093.1,The Pretzel Factory,unverified,false,-93.1722657289,44.9785924,West side of Nelson St. between Carnes & Judson avenues,,114.3,,large_change_from_baseline|no_independent_verification
medium,25,6137.1,Three Sisters Concessions,unverified,false,-93.177128282051,44.979453648713,"North side of Judson Ave., outside the Horse Barn",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1948.1,Tino's Pizza on a Stick,unverified,false,-93.1738617492,44.9797953185,South side of Carnes Ave. at Chambers St.,,54.7,,large_change_from_baseline|no_independent_verification
medium,25,1511.2,Tom Thumb Donuts,unverified,false,-93.1692733446,44.981189895,"West side of Cooper St. between Wright & Dan Patch avenues, at Kidway",,107.2,,large_change_from_baseline|no_independent_verification
medium,25,5609.1,Waffle Chix,unverified,false,-93.1736101411,44.9785895846,On Judson Ave. between Liggett & Clough streets,,74.2,,large_change_from_baseline|no_independent_verification
medium,25,3549.1,Waffle Cones,unverified,false,-93.1698736573,44.9825528,At Kidway,,148.3,,large_change_from_baseline|no_independent_verification
medium,25,3553.1,Walleye On a Stick,unverified,false,-93.169646675,44.9802786,"In the Food Building, southeast center section",,145.4,,large_change_from_baseline|no_independent_verification
medium,25,1286.1,West Indies Soul Food,unverified,false,-93.1689842786,44.9780211534,"At the International Bazaar, south wall",,118.1,,large_change_from_baseline|no_independent_verification
medium,25,4872.1,Westmoreland Concessions,unverified,false,-93.1781560073,44.9799615,At Mighty Midway,,130.8,,large_change_from_baseline|no_independent_verification
medium,25,6202.1,Wow Fudge,unverified,false,-93.1687726,44.980762,"In the Merch Market, center aisle",,111.5,,large_change_from_baseline|no_independent_verification
medium,20,5146.1,BABA'S,approximate,false,-93.1702612605,44.9862244845,East side of Underwood St. between Murphy & Lee avenues,,176.3,0.0,large_change_from_baseline
medium,20,2142.1,Cream Puffs,unverified,false,-93.1754916432,44.980627468,Southwest corner of West Dan Patch Ave. & Liggett St.,,42.5,42.5,large_change_from_baseline
medium,20,2340.2,Fresh French Fries,approximate,false,-93.1711875,44.9788125,North side of Judson Ave. between Nelson & Underwood streets,,92.2,0.0,large_change_from_baseline
medium,20,10093.1,Giggles' Campfire Grill,verified,true,-93.1688586,44.9856224,Southeast corner of Lee Ave. & Cooper St. at The North Woods,,0.0,0.0,written_street_corridor_conflict
medium,20,11704.1,Granny's Apples + Lemonade,approximate,false,-93.1703125,44.9803125,"In the Food Building, west wall",,77.4,0.0,large_change_from_baseline
medium,20,2565.1,Italian Junction,verified,true,-93.1714778,44.9809592,South side of Dan Patch Ave. between Nelson & Underwood streets,,140.4,0.0,large_change_from_baseline
medium,20,4847.1,JJ Vescio's,verified,true,-93.1738345,44.9807007,"East of Chambers St., just south of the Grandstand",,118.3,0.0,large_change_from_baseline
medium,20,2758.1,Mexican Hat,verified,true,-93.1740205,44.9806661,"East of Chambers St., just south of the Grandstand",,146.6,0.0,large_change_from_baseline
medium,20,2764.2,Midtown Global Market's El Taco Torro,approximate,false,-93.1685625,44.9780625,"In the Taste of the Midtown Global Market booth at the International Bazaar, east wall",,170.2,0.0,large_change_from_baseline
medium,20,2649.1,Minnesota Craft Brewers Guild,approximate,false,-93.1703125,44.9793125,"In the Agriculture Horticulture Building, west side",,97.7,0.0,large_change_from_baseline
medium,20,11056.1,Roon's Savories,unverified,false,-93.1754697289,44.978569,West side of Liggett St. between Carnes & Judson avenues,,50.6,50.6,large_change_from_baseline
medium,20,9531.1,Saturday Dumpling Co.,approximate,false,-93.170135,44.9801902,"In the Food Building, east wall",,141.5,0.0,large_change_from_baseline
medium,20,3247.1,Sausage by Cynthia,approximate,false,-93.1719236,44.9786289,North side of Judson Ave. between Nelson & Underwood streets,,125.5,0.0,large_change_from_baseline
low,5,6135.1,About a Foot Long Hot Dog,unverified,false,-93.1722724005,44.979795668,Southwest corner of Carnes Ave. & Nelson St.,,,,no_independent_verification
low,5,6449.1,About a Foot Long Hot Dog,unverified,false,-93.1738553,44.978449884892,"South side of Judson Ave. between Liggett & Clough streets, in front of the Lee & Rose Warner Coliseum",,0.0,,no_independent_verification
low,5,9642.1,About a Foot Long Hot Dog,unverified,false,-93.168036,44.9839827,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,2551-2787,0.0,,no_independent_verification
low,5,9642.2,About a Foot Long Hot Dog,unverified,false,-93.1692872432,44.981206432,Northwest corner of Dan Patch Ave. & Cooper St.,1908-2548,24.1,,no_independent_verification
low,5,792.3,Aldo's Burgers,unverified,false,-93.174896844329,44.978295168621,"In the Lee & Rose Warner Coliseum, west side",,0.0,,no_independent_verification
low,5,6041.1,Bandstand Concessions,unverified,false,-93.171914135256,44.982716512152,Inside the Grandstand Concert Venue,,0.0,,no_independent_verification
low,5,11830.1,Beans & Beignets,unverified,false,-93.173685963462,44.978813280576,Northwest corner of Judson Ave. & Clough St.,,0.0,,no_independent_verification
low,5,1509.3,Bratwurst,unverified,false,-93.1722972,44.9800237,Northwest corner of Carnes Ave. & Nelson St.,1539-1982,0.0,,no_independent_verification
low,5,5733.1,Bridge N' Barrel Root Beer,unverified,false,-93.1710891914,44.9811663029,North side of Dan Patch Ave. between Nelson & Underwood streets,1893-2198,28.6,,no_independent_verification
low,5,5733.2,Bridge N' Barrel Root Beer,unverified,false,-93.1706802,44.9799609,Northwest corner of Carnes Ave. & Underwood St.,1539-2304,0.0,,no_independent_verification
low,5,10014.1,Butcher Boys,unverified,false,-93.175614425979,44.980217873197,West side of Liggett St. between Carnes & West Dan Patch avenues,,0.0,,no_independent_verification
low,5,227.1,Butcher Boys,unverified,false,-93.170865162821,44.980902605354,North side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,no_independent_verification
low,5,1887.1,"Caramel Apples, Cotton Candy, Sno Kones",unverified,false,-93.170136053846,44.984202172662,South side of Randall Ave. between Underwood & Cooper streets,,0.0,,no_independent_verification
low,5,11505.1,Chocolate Strawberry Cup,unverified,false,-93.1692872432,44.981026568,Southwest corner of Dan Patch Ave. & Cooper St.,,,,no_independent_verification
low,5,2069.1,Crutchees Cheese on a Stick,unverified,false,-93.1719732995,44.978682332,Northeast corner of Judson Ave. & Nelson St.,,,,no_independent_verification
low,5,3745.1,Danielson's & Daughters Onion Rings,unverified,false,-93.1699518073,44.9799973,"Between Underwood & Cooper streets, outside south side of the Food Building",,,,no_independent_verification
low,5,3340.2,Deep Fried Batter Dipped Twinkies & Buckeyes,unverified,false,-93.168578956,44.980762,East side of Cooper St. outside the Merch Market,,,,no_independent_verification
low,5,265.1,Duke's Poutine,unverified,false,-93.173338053846,44.978715784173,North side of Judson Ave. between Clough & Nelson streets,,0.0,,no_independent_verification
low,5,3280.1,Elm's Shaved Ice,unverified,false,-93.1754824432,44.978479068,Southwest corner of Judson Ave. & Liggett St.,,,,no_independent_verification
