review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,2387.1,Fresh Lemonade - Cheese on a Stick,unverified,false,-93.171036968339,44.981654793306,West side of Nelson St. between Dan Patch & Carnes avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,244.2,"Fresh Squeezed Lemonade, Fruit Smoothies, Fresh Squeezed Orange Treet & Strawberry Treet",unverified,false,-93.1700195,44.9799882,"Outside the Food Building, southwest side",1552-2435,124.4,,large_change_from_baseline|no_independent_verification
medium,25,2029.2,Funnel Cakes,unverified,false,-93.170823261538,44.979241160023,"South side of Judson Ave. between Nelson & Underwood streets, at Adventure Park",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2247.1,Funnel Cakes,unverified,false,-93.170131707943,44.982191270589,North side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2527.1,Goertzes Dairy Kone,unverified,false,-93.168420029808,44.979751637691,"East side of Cooper St., next to the Merch Market",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2417.1,Granny's Cheesecake & More,unverified,false,-93.169810417308,44.980736302936,North side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2437.1,Green Mill,unverified,false,-93.167815325,44.984935836282,"East side of Cooper St. between Randall & Wright avenues, at Family Fair at Baldwin Park",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2447.1,Gyros by G&G Concessions,unverified,false,-93.16934945641,44.986705875559,Northeast corner of Lee Ave. & Underwood St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2477.1,Hawaiian Shaved Ice,unverified,false,-93.170864417949,44.980941050291,North side of Dan Patch Ave. between Underwood & Cooper streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2493.1,Henry's Kettle Korn,unverified,false,-93.167965033974,44.984756687925,"East side of Cooper St. between Lee & Randall avenues, at The North Woods",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2196.2,Ice Cold Root Beer,unverified,false,-93.171267228127,44.978270592019,East side of Nelson St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,7741.1,Jive Turkey BBQ,unverified,false,-93.169996031551,44.985988409335,North side of Lee Ave. between Underwood & Cooper streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2122.1,Kathie's Cotton Candy,unverified,false,-93.17644756859,44.979856055091,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2122.3,Kathie's Cotton Candy,unverified,false,-93.175379328846,44.98039981295,West side of Liggett St. between West Dan Patch & Carnes avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2120.1,L & B Cotton Candy,unverified,false,-93.171020259615,44.979530674574,South side of Judson Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3386.2,Loon Lake Iced Tea,unverified,false,-93.171913342308,44.983514440728,West side of Underwood St. between Wright & Dan Patch avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,10914.1,Magdalena's Chimney Cakes,unverified,false,-93.174369229575,44.979692495783,North side of Judson Ave. between Clough & Nelson streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,198.1,Mancini's al Fresco,unverified,false,-93.170408819872,44.980901282131,North side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1548.1,Minneapple Pie,unverified,false,-93.171806929487,44.979434658456,South side of Judson Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,4072.1,Minnesota Wine Country,unverified,false,-93.171857008974,44.978808533152,West side of Underwood St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,11206.1,Minnesota's Original Apple Fries,unverified,false,-93.170514728205,44.98092835215,North side of Dan Patch Ave. between Underwood & Cooper streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2941.1,Netterfield's Food Court,unverified,false,-93.170473308333,44.981079118673,East side of Cooper St. between Wright & Dan Patch avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,256.1,O'Gara's at the Fair,unverified,false,-93.168257957692,44.981068992806,Southwest corner of Dan Patch Ave. & Cosgrove St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2987.1,Ole and Lena's,unverified,false,-93.176937875,44.980470828829,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,6268.1,Paella Depot,unverified,false,-93.173123161727,44.977466042152,South side of Judson Ave. between Clough & Nelson streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,8386.1,Peachey's Baking Company,unverified,false,-93.168254037179,44.985340925919,"North side of Randall Avenue, east of Cosgrove Street, outside the Progress Center",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,8924.1,Peterson's Pork Chops,unverified,false,-93.170533705769,44.97883622648,South side of Judson Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3060.1,Pickle Dog,unverified,false,-93.17371949359,44.979047482039,South side of Carnes Ave. between Liggett & Chambers streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3066.1,Pizza Wagon,unverified,false,-93.175473233654,44.980380313561,"West side of Liggett St., just north of Mighty Midway",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3077.1,Poncho Dogs,unverified,false,-93.171631410577,44.980579265168,"South side of Carnes Ave. between Clough & Nelson streets, in front of the DNR Building",,0.0,,written_street_corridor_conflict|no_independent_verification
